Split,Class,Mean_IoU,Std_IoU,Metric_Type,Min_IoU,Max_IoU,Num_Samples
train,Bareland,0.37109761028946275,0.21034067313339525,per_class,,,
train,Rangeland,0.36358552166697067,0.18422901692226118,per_class,,,
train,Developed,0.4142192566395773,0.20248771093129567,per_class,,,
train,Road,0.5317874571730723,0.2048485840283835,per_class,,,
train,Tree,0.12995596882582547,0.25314068536319495,per_class,,,
train,Water,0.3042724404434609,0.34834922073719293,per_class,,,
train,Agriculture,0.6319896986671472,0.19372050387238848,per_class,,,
train,Building,0.0,0.0,per_class,,,
train,mIoU,0.40763162674360687,0.10285620650959722,summary,0.07605621724234102,0.7762459271274711,1751.0
val,Bareland,0.37314712500383046,0.2061940485594223,per_class,,,
val,Rangeland,0.37265672285269136,0.19440254383553165,per_class,,,
val,Developed,0.41777955790323257,0.2012066180358283,per_class,,,
val,Road,0.5416309576797752,0.20234318235093882,per_class,,,
val,Tree,0.17134448539117944,0.2904637028922997,per_class,,,
val,Water,0.29686307225938674,0.3347631452969202,per_class,,,
val,Agriculture,0.6414581008613108,0.1662855206152179,per_class,,,
val,Building,0.0,0.0,per_class,,,
val,mIoU,0.41541133755859333,0.10210436646511752,summary,0.09277162279670625,0.6647754586064819,218.0
test,Bareland,0.38164649953100244,0.20783385051011052,per_class,,,
test,Rangeland,0.36821840446906356,0.1702115403486123,per_class,,,
test,Developed,0.40353580566583475,0.20743735077795333,per_class,,,
test,Road,0.5552289774007471,0.18395049553058931,per_class,,,
test,Tree,0.17795270807547395,0.3024907552817508,per_class,,,
test,Water,0.3264793591227897,0.3536101553039586,per_class,,,
test,Agriculture,0.6425667290116663,0.17753245920647262,per_class,,,
test,Building,0.0,0.0,per_class,,,
test,mIoU,0.42036062901465016,0.10373536681371451,summary,0.04602546775098881,0.6915806197382458,220.0
